myAUC,avg_diff,power,avg_log2FC,pct.1,pct.2,cluster,gene
0.904,0.8977603837427928,0.808,1.2951944535323006,1,0.916,0,Pclo
0.903,0.9567238887512208,0.806,1.3802608098013907,1,0.924,0,Cadm2
0.901,1.0197129870968717,0.802,1.4711348696147284,1,0.779,0,Tcf4
0.901,1.5705807695447769,0.802,2.265869087537821,0.885,0.309,0,Msra
0.9,1.1420423852723098,0.8,1.6476188857173644,1,0.878,0,Otud7a
0.899,1.229103370111896,0.798,1.7732213368003444,0.962,0.344,0,Zfpm2
0.894,1.1018208110642984,0.788,1.589591420070719,0.885,0.183,0,Cnksr3
0.894,1.4203904909336151,0.788,2.049190317395767,0.846,0.179,0,Sel1l3
0.894,1.182752802922719,0.788,1.7063516033741282,0.962,0.569,0,Chd7
0.893,0.7891729925947697,0.786,1.138535962819977,1,0.855,0,Smg1
0.892,1.147272733144463,0.784,1.655164682654644,1,0.779,0,Oxr1
0.892,1.2350213581809235,0.784,1.7817591888395705,0.962,0.508,0,Unc13c
0.892,1.2705587500683513,0.784,1.83302880788169,1,0.756,0,Kirrel3
0.891,1.1970672612432147,0.782,1.7270030014061188,0.923,0.424,0,Ablim3
0.891,1.6171007851796693,0.782,2.332983283396358,0.808,0.088,0,Adamts18
0.89,1.2228843896073758,0.78,1.764249244467088,0.885,0.214,0,Epha3
0.889,0.9387014612542797,0.778,1.3542599430267726,1,0.844,0,Cacna1c
0.889,1.3335940841383693,0.778,1.9239695717452843,1,0.718,0,Galnt13
0.888,0.922103465331563,0.776,1.330314096620374,1,0.779,0,Ablim1
0.887,1.1995436313064765,0.774,1.7305756482157928,0.885,0.351,0,Nhsl2
0.886,0.8907555352101282,0.772,1.2850885932920468,0.962,0.271,0,Slc4a4
0.885,0.8776586368084431,0.77,1.266193762916909,1,0.977,0,Anks1b
0.884,1.1478936513961937,0.768,1.656060478337213,0.923,0.416,0,Ptprr
0.881,1.0657154963807622,0.762,1.5375024616270454,1,0.786,0,Syt1
0.88,1.0788761872255646,0.76,1.5564893250435146,0.923,0.5,0,Mtcl1
0.879,1.2284427953878865,0.758,1.7722683289218795,0.885,0.332,0,Dpf3
